Guidance Document 	வழிகாட்டி ஆவணம்
Food preparation/ production area, Stores, Packaging area, Service Area, Waste Disposal Area, Office space, Transport Vehicle, Toilets/Washrooms.	உணவு தயாரித்தல் / தயாரிப்பு இடம், சிப்பம்கட்டும் பகுதி கடைகள், சேவைப்பகுதி, கழிவுகளை அகற்றும் பகுதி, அலுவலகப்பகுதி, போக்குவரத்து வாகனம், கழிப்பறைகள் /கழுவுமிடங்கள் போன்றவற்றை சுத்தம் செய்யவும்.
Soap and water (preferably hot water) followed by disinfection (using freshly prepared 1% hypochlorite solution or equivalent).	சோப்பு மற்றும் நீர் (சூடான நீர் இருப்பின் நல்லது) கொண்டு கழுவி, தொடர்ந்து கிருமி நீக்கம் (புதிதாக தயாரிக்கப்பட்ட 1% ஹைபோகுளோரைட் கரைசல் அல்லது அதற்கு சமமானவற்றைப் பயன்படுத்துதல்) செய்ய வேண்டும்.
Restaurant Equipment and crockery etc.	உணவக உபகரணங்கள் மற்றும் உணவுக்கலங்கள் போன்றவை.
The crockery, cutlery, hollowware and service ware etc. be washed with hot water and food grade/ approved disinfectants.	உணவுக்கலங்கள், நறுக்குக்கருவிகள், வெற்றுப் பாத்திரங்கள் மற்றும் பயன்பாட்டுப் பாத்திரங்கள் போன்றவை வெந்நீர் மற்றும் உணவுத் தரஅமைப்பி னால் அங்கீகரிக்கப்பட்ட கிருமிநாசினிகளால் கழுவப்பட வேண்டும்.
<TABLE-data>	<table-data>
2.2|	2.2 |
Personal Hygiene: Employee/Staff	தனிப்பணியாளரின் / பணியாளர்கள்குழுவின் தனிப்பட்ட சுகாதாரம்:
All Employees must ensure impeccable hygiene practices to avoid cross contamination.	குறுக்கு மாசுபாட்டைத் தவிர்ப்பதற்கு அனைத்து ஊழியர்களும் குறையற்ற சுகாதார நடைமுறைகளை உறுதிப்படுத்த வேண்டும்.
2.2.1|	2.2.1 |
3. All staff shall maintain respiratory etiquettes i.e. covering mouth and nose with bent elbow or tissue when coughing or sneezing. The used tissue should be disposed of immediately as per prescribed norms.	3. அனைத்து ஊழியர்களும் மூச்சுவிடுதல் நடைமுறை களைப் பின்பற்ற வேண்டும். அதாவது இருமும்போது அல்லது தும்மும்போது வாயையும் மூக்கையும் முழங்கையினால் அல்லது துடைப்புத் தாளால் மூடிக் கொள்ள வேண்டும். பயன்படுத்தப்பட்ட துடைப்புத் தாள்கள் பரிந்துரைக்கப்பட்ட விதிமுறைகளின்படி உடனடியாக அகற்றப்பட வேண்டும்.
4. Social distancing should be maintained amongst staff as well as guests and all should refrain from hugging & shaking hands with guests as well as among themselves.	4. ஊழியர்கள், விருந்தினர்களிடையே சமூகத் தொலைவு பராமரிக்கப்பட வேண்டும். மேலும் அனைவரும் விருந்தினர்களும் தங்களுக்கிடையில் தழுவிக்கொள்வதையும் கை குலுக்குவதையும் தவிர்க்க வேண்டும்.
2.3|	2.3 |
2.3.1|	2.3.1 |
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
3.1|	3.1 |
General Advisories	பொது ஆலோசனைகள்
These advisories are generic in nature and must be adhered to by all concerned.	இந்தஆலோசனைகள் இயற்கையில் பொதுவானவை. இவற்றைச் சம்பந்தப்பட்ட அனைவரும் கடைப்பிடிக்க வேண்டும்.
3.1.1|	3.1.1 |
2. Provide a mask/face cover till such time she/he is examined by a doctor.	2. அவர் ஒரு மருத்துவரால் பரிசோதிக்கப்படும் வரை முகமூடி / முகத்தின் உறையை வழங்கவும்.
3. Immediately inform the nearest medical facility (hospital/clinic) or call the state or district helpline.	3. உடனடியாக அருகிலுள்ள மருத்துவ வசதிக்கு (மருத்துவமனை / கிளினிக்) தெரிவிக்கவும் அல்லது மாநில அல்லது மாவட்ட உதவித் தொலைபேசியில் அழைக்கவும்.
4. A risk assessment will be undertaken by the designated public health authority(district RRT/treating physician) and accordingly further action be initiated regarding management of case, her/his contacts and need for disinfection.	4. நியமிக்கப்பட்ட பொது சுகாதார அதிகாரிகளால் (மாவட்ட ஆர்.ஆர்.டி / சிகிச்சையளிக்கும் மருத்துவர்) ஒரு இடர் மதிப்பீடு மேற்கொள்ளப்படும். அதன்படி கிருமி நாசினித் தேவைக்கென பாதிக்கப்பட்ட நபர், அவரது தொடர்பு நபர்கள் குறித்து அடுத்த நடவடிக் கைகள் தொடங்கப்படும்.
5. Disinfection of the premises to be taken up if the person is found positive.	5. நபருக்கு கோவிட் இருப்பதாகக் காணப்பட்டால் மேற்கொள்ள வேண்டிய வளாகக் கிருமி நீக்கம்.
3.1.2|	3.1.2 |
3.1.3|	3.1.3 |
3.1.4|	3.1.4 |
1. Social distancing norms (6ft) should be followed by all (guests & staff).	1. சமூகத் தொலைவு விதிமுறையை (6 அடி) (விருந்தி னர்களும் ஊழியர்களும்) அனைவரும் பின்பற்ற வேண்டும்.
2. The regulation regarding maximum number persons or a gathering in a hall or a confined room shall be followed at all times.	2. ஒரு மண்டபத்தில் அல்லது ஒரு குறிப்பிட்ட அறை யில் அதிகபட்ச எண்ணிக்கையிலான நபர்கள் ஒன்று கூடுவது தொடர்பான நெறிமுறை/கட்டுப்பாடுகள் எல்லா நேரங்களிலும் பின்பற்றப்படும்.
3.1.5|	3.1.5 |
1. Spitting shall be strictly prohibited in all areas except for the place assigned for.	1. ஒதுக்கப்பட்ட இடம் தவிர அனைத்து பகுதிகளிலும் துப்புவது கண்டிப்பாகத் தடைசெய்யப்படும்.
2. Prohibit sharing of lockers or uniform or any other common items like notepad, pen etc.	2. லாக்கர்கள், சீருடைகள் அல்லது குறிப்பேடு, பேனா போன்ற பிற பொதுவான பொருட்களையும் பகிர்வதைத் தடைசெய்யவும்.
3.1.6|	3.1.6 |
3.2|	3.2 |
This is the first line of defence and all persons must be screened while entering the premises while maintaining all precautions.	இது பாதுகாப்புக்கான முதல் கட்ட நடவடிக்கை. அனைத்து முன்னெச்சரிக்கை நடவடிக்கைகளையும் மேற்கொண்டு, அனைத்து நபர்களும் வளாகத்திற்குள் நுழையும்போது கண்காணிக்கப்படுவர்.
3.2.1|	3.2.1 |
Screening & Sanitization at Entry	நுழைவாயிலில் கண்காணிப்பும் தூய்மையாக்கமும்
1. All employees, visitors, guests etc. shall undergo screening for measurement of body temperature and sanitization of their hands.	1. ஊழியர்கள், வருகையாளர்கள், விருந்தினர்கள் அனைவரின் உடல் வெப்பநிலையை அளவிடுவதற் கும் அவர்களின் கைகளை சுத்திகரிப்பதற்கும் கண்காணிப்புக்கு உட்படுத்தப்படுவார்கள்.
7. Ministry of Health and Family Welfare’s protocol/SOPs is to be adhered to for handling suspected & COVID positive guests or employees.	7. சந்தேகத்திற்கிடமான மற்றும் கோவிட் பாசிடிவ் விருந்தினர்கள் அல்லது பணியாளர்களைக் கையாளு வதற்கு சுகாதார மற்றும் குடும்ப நல அமைச்சகத்தின் நெறிமுறைகள் / எஸ்ஓபிக்கள் கடைபிடிக்கப்பட வேண்டும்.
3.3|	3.3 |
Dining Area	உணவு உண்ணும் பகுதி
All precautions related to seating and handling of food service should be taken to minimize risks.	அபாயங்களைக் குறைக்கவேண்டி, இருக்கைகள் மற்றும் உணவுச் சேவை அளிப்பு தொடர்பான அனைத்து முன்னெச்சரிக்கைகளும் மேற்கொள்ளப்பட வேண்டும்.
1. Seating arrangement in the restaurant shall be made in such a way that adequate social distancing is maintained. Ensure that the seating capacity is reduced by 50% and the seating style is changed so as to maintain social distancing. (only for the pandemic phase, following MHA/FSSAI guidelines)	1. உண்ணும் இடத்தில் இருக்கை ஏற்பாடு (ஏதேனும் இருந்தால்) போதுமான சமூகத் தொலைவைப் பராமரிக்கும் வகையில் செய்யப்படும். (mha / fssai வழிகாட்டுதல்களைப் பின்பற்றி, தொற்றுநோய்க்கு மட்டும்) சமூகத் தொலைவைத் தக்கவைத்துக் கொள் ளும் வகையில் இருக்கைத் திறன் 50% குறைக்கப் படுவதையும், இருக்கைப் பாணி மாற்றப்படுவதையும் உறுதிசெய்யவும்.
2. Tables to families/groups to be allocated strategically to avoid contamination with other tables.	2. பிற மேசைகளுடன் தொடர்பு மாசுபாட்டைத் தவிர்க்க குடும்பங்கள் / குழுக்களுக்கான மேசைகள் உத்திபூர்வ முறையில் ஒதுக்கப்பட வேண்டும்.
3. Ensure floor markings indicating social distancing wherever needed.	3. தேவைப்படும் இடங்களில் சமூக தொலைவைக் குறிக்கும் தரை அடையாளங்களை இடவும்.
4. Only bottled water, where outer side of the bottle is disinfected, to be used for providing water to guests.	4. பாட்டிலின் வெளிப்புறம் கிருமி நீக்கம் செய்யப் பட்ட பாட்டில் தண்ணீர் மட்டுமே விருந்தினர்களுக்கு வழங்கப்பட வேண்டும்.
5. Disposable menus are advised.	5. பயன்படுத்தி-எறிந்துவிடும் மெனுக்களைப் பயன் படுத்துவது அறிவுறுத்தப்படுகிறது.
6. Instead of cloth napkins/serviettes, use of good quality disposable paper napkins shall be encouraged.	6. துணிக்குட்டைகள்/மேசைக்குட்டைகளுக்கு பதில், நல்ல தரமான பயன்படுத்தி-எறியும் காகிதக் குட்டைக ளின் பயன்பாட்டை ஊக்குவிக்க வேண்டும்.
7. Only cooked food to be included in the menu and wherever possible to avoid inclusion of raw or cold food like salads etc.	7. சமைத்த உணவு மட்டுமே மெனுவில் சேர்க்கப்பட வேண்டும். முடிந்த இடங்களில் எல்லாம் சாலடு போன்ற சமைக்கப்படாத அல்லது குளிர்ந்த உணவைச் சேர்ப்பதைத் தவிர்க்கவும்.
8. Buffet service should be avoided. If unavoidable, then only the trained service staff to serve the food from buffet table/chafing dishes.	8. தானே உணவெடுத்து உண்ணுதல் (பஃபே) முறை யைத் தவிர்க்க வேண்டும். தவிர்க்க முடியாவிட்டால், பஃபே மேசையிலிருந்து/வெப்பமூட்டிக் கலங்களிலி ருந்து உணவைப் பரிமாறப் பயிற்சி பெற்ற ஊழியர் கள் மட்டுமே பரிமாற வேண்டும்.
9. Only designated staff to serve the food on a particular table.	9. ஒரு குறிப்பிட்ட மேசையில் உணவை பரிமாற நியமிக்கப்பட்ட ஊழியர்கள் மட்டுமே பரிமாற வேண்டும்.
10. The service equipment to be segregated and stored in sanitized cupboards.	10. பயன்பாட்டு உபகரணங்களைப் பிரித்து சுத்திகரிக் கப்பட்ட அலமாரியில் வைக்க வேண்டும்.
11. The soiled dishes to be immediately taken to dishwashing area and not left on the sideboards. The leftover food to be discarded in the designated bins with lids. The garbage should be disposed of on regular/daily basis.	11. அழுக்கடைந்த தட்டுகளை உடனடியாக பாத்திரங் களைக் கழுவுதல் பகுதிக்கு எடுத்துச் செல்லவேண்டும். அவற்றைப் பக்கப்பலகைகளில் விடக்கூடாது. மீத முள்ள உணவை மூடிகளுடன் கூடியதொட்டிகளில் போடவேண்டும். குப்பைகளை முறையான/தினசரி வழக்கப்படி அப்புறப்படுத்த வேண்டும்.
12. Contactless mode of ordering and digital mode of payment (using e-wallets etc.) shall be encouraged.	12. தொடுகை இல்லாத உணவழைப்பு முறை மற்றும் எண்ணியல் கட்டணம் செலுத்தும் முறை (மின்-பணப்பைகள் போன்றவற்றைப் பயன்படுத்துதல்) ஊக்குவிக்கப்படும்.
13. HACCP/ISO/FSSAI standards to be followed for cleanliness of F&B material and hygiene.	13. உணவு-உறைவிட பொருள் மற்றும் சுகாதாரத்தின் தூய்மைக்கு haccp / iso / fssai தரநிலைகள் பின்பற்றப்பட வேண்டும்.
3.4|	3.4 |
The intent of social distancing to be practiced and optimum use of human resources.	சமையலறை / உணவு சமைக்கும் பகுதியில் சமூக விலகலின் நோக்கத்துக்கும் மனித வளத்தைப் பயன்படுத்தலுக்கும் ஏற்ப அமையவேண்டும்.
3.4.1|	3.4.1 |
1. Kitchens to plan social distancing in a practical manner.	1. சமையலறைகள் நடைமுறை நிலைக்கேற்ப சமூகத் தொலைவைத் திட்டமிடவேண்டும்.
2. Worktables to be realigned in such a manner that staff do not face each other and also maintain social distance.	2. பணியாளர்கள் ஒருவருக்கொருவர் எதிரிடாத வித மாகவும், சமூகத் தொலைவை பராமரிக்கும் வகையி லும் பணிமேசைகள் வடிவமைக்கப்பட வேண்டும்.
3. Optimize employees in production area to ensure physical distancing	3. உடல் ரீதியான தொலைவை உறுதிப்படுத்துவ தற்கு சமைக்கும் பகுதியில் பணியாளர்கள் எண்ணிக் கையைக் கட்டுப்படுத்தவும்.
4. Keep staggered workstations in the food preparation area.	4. உணவு சமைக்கும் இடத்தில் ஒன்றையொன்று தொடாத அமருமிடங்களை வைத்திருங்கள்.
3.5|	3.5 |
Home Delivery of F&B (if applicable)	(பொருந்துமாயின்)உணவு-காலையுணவு ஏற்பாடு வீட்டுக்குச் சென்று வழங்குதல்
Guests to be encouraged for takeaways instead of dine-in. Precautions must be maintained during delivery.	விருந்தினர்கள் உள்ளிருந்து உணவருந்துவதற்குப் பதிலாக வெளியில் எடுத்துச் சென்று உண்ண ஊக்குவிக்கப்பட வேண்டும். உணவு தரும்போது முன்னெச்சரிக்கைகள் பராமரிக்கப்பட வேண்டும்.
3.5.1|	3.5.1 |
1. Cleaning, sanitizing and disinfection measures shall be adopted to ensure that food packaging is kept clean and away from sources of contamination.	1. உணவுச் சிப்பம் கட்டுதல் சுத்தமாகவும், மாசுபடுத் தும் பொருள்களிலிருந்து விலகியும் இருப்பதையும் உறுதி செய்யவும். இதற்கென சுத்தம் செய்தல், தூய்மைப்படுத்தல், கிருமிநாசினி பயன்பாடுகள் மேற்கொள்ளப்படும்.
2. Ensure that the drivers, loaders and other staff are trained about the COVID-19 infection symptoms and measures for prevention. They should maintain high standards of personal hygiene.	2. கோவிட்-19 நோய்த்தொற்று அறிகுறிகள் மற்றும் தடுப்பு நடவடிக்கைகள் குறித்து ஓட்டுநர்கள், சுமை ஏற்றிகள் மற்றும் பிற ஊழியர்களுக்கு பயிற்சி அளிக்கப்படுவதை உறுதிசெய்யவும். அவர்கள் தங்கள் தனிப்பட்ட சுகாதாரத்தில் உயர் தரத்தை பராமரிக்க வேண்டும்.
3. Clean & Sanitize Delivery/ transport vehicles regularly. Use designated vehicle only for food deliveries / distribution only.	3. விநியோக / போக்குவரத்து வாகனங்களை தவறாமல் சுத்தம் செய்யவேண்டும். நியமிக்கப்பட்ட வாகனத்தை உணவு அளிப்பு / விநியோகத்திற்கு மட்டுமே பயன்படுத்தவும்.
4. Hand washing material and Sanitizer bottle to be fixed in driver cabin.	4. ஓட்டுநர் பகுதியில் கை கழுவு பொருள் மற்றும் தூய்மைப்படுத்தி பாட்டில் பொருத்தப்பட வேண்டும்.
6. Face covers to be worn at all times.	6. முக மூடிகள் (உறைகள்) எல்லா நேரங்களிலும் அணிய வேண்டும்.
7. Avoid use of public toilets and crowded places during the breaks.	7. இடைவேளைகளின் போது பொது கழிப்பறைக ளையும் நெரிசலான இடங்களையும் பயன்படுத்து வதைத் தவிர்க்கவும்.
9. Leave the item 6 ft. away from the doorstep of guest after informing her/him. Do not handover directly.	9. விருந்தினரின் அறை வாசலில் இருந்து 6 அடி தூரத்தை அவருக்குத் தெரிவித்தபின் பொருளை வைத்து விடுங்கள். நேரடியாகத் தர வேண்டாம்.
10. Maintain relevant records.	10. ஏற்புடைய பதிவேடுகளைப் பராமரிக்கவும்.
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
4|	4 |
Communication, Training & Awareness	தொடர்பும், பயிற்சியும், விழிப்புணர்வும்
4.1|	4.1 |
Communication, Awareness & Training measures 	தொடர்பு, விழிப்புணர்வு, பயிற்சி நடவடிக்கைகள்
Overall communication, awareness and training through non-contact methods is essential.	தொடுகை இல்லாத முறைகள் மூலம் ஒட்டுமொத்தத் தொடர்பு மற்றும் விழிப்புணர்வுப் பயிற்சி அவசியம்.
4.1.1|	4.1.1 |
2. The DO’s and DON’Ts shall be clearly conveyed through various mediums, both for guests as a well as employees.	2. விருந்தினர்களுக்கும் பணியாளர்களுக்கும் பல்வேறு ஊடகங்கள் மூலம் செய்யவேண்டியவற்றை யும் செய்யக்கூடாதவற்றையும் தெளிவாகத் தெரிவிக்க வேண்டும்.
4.1.2|	4.1.2 |
Awareness through Informational Signs & A/V Media:	தகவல் அடையாளங்கள், காட்சி-கேட்பு ஊடகங்கள் மூலம் விழிப்புணர்வு:
1. Provision of regular training shall be in place for all employees (regular as well as contractual) on the established hygiene and safety guidelines for safe working (log of training or video record of session to be kept).	1. (வழக்கமான மற்றும் ஒப்பந்த அடிப்படையிலான) அனைத்து ஊழியர்களுக்கும் பாதுகாப்பான பணிக் காக, ஏற்கெனவேயுள்ள சுகாதாரம் மற்றும் பாதுகாப்பு வழிகாட்டுதல்களில் பயிற்சி அளிக்கப்பட வேண்டும்.
2. Additionally, awareness may also be imparted through informational signs or A/V Media encouraging risk-minimizing behavior and should be displayed at prominent locations.	2. தகவல் அடையாளங்கள் அல்லது காட்சி-கேட்பு ஊடக மூலமாகவும் விழிப்புணர்வு வழங்கப்படலாம். ஆபத்தை குறைக்கும் நடத்தையை ஊக்குவிப்பதற்காக இவை ஊழியர்கள் மற்றும் விருந்தினர்களுக்கான மூலமான/முக்கிய இடங்களில் காட்டப்பட வேண்டும்.
3. Signage will help in reminding about the practices to be followed and may also assist in behavioral changes.	3. பின்பற்ற வேண்டிய நடைமுறைகளைப் பற்றி நினைவூட்டுவதற்கு அடையாளமுறை உதவும். மேலும் நடத்தை மாற்றங்களுக்கும் உதவக்கூடும்.
4. Such signage needs to be placed at entrances, exits and all strategic/important locations like hand-wash and hygiene stations and in any transit areas.	4. இத்தகைய அடையாளங்கள் நுழைவாயில்கள், வெளியேறும் இடங்கள், கை கழுவுமிடங்கள் மற்றும் சுகாதார இடங்கள் போன்ற அனைத்து உத்திபூர்வ / முக்கியமான இடங்களிலும் முக்கியப் போக்குவரத்து இடங்களிலும் வைக்கப்பட வேண்டும்.
5. The signage should be in a language that is clearly understood by the staff.	5. அடையாளங்கள் ஊழியர்களால் தெளிவாகப் புரிந்துகொள்ளக்கூடிய மொழியில் இருக்க வேண்டும்.
6. The signs/displays must be concise and easy to read, preferably using graphics and illustrations alongside the text.	6. அடையாளங்கள் ஊழியர்களால் தெளிவாகப் புரிந்துகொள்ளக்கூடிய மொழியில் இருக்க வேண்டும் சுருக்கமாகவும் படிக்க எளிதாகவும் இருக்க வேண்டும், எழுத்துரையுடன் வரைகலை, விளக்கப்படங்களைப் பயன்படுத்துவதற்கு முன்னுரிமை தரப்பட வேண்டும்.
7. As a minimum, the signs must cover the following points:	7. குறைந்தபட்சமாக, அறிகுறிகள் பின்வரும் வாயில்களை உள்ளடக்கியிருக்க வேண்டும்:
- Use & Disposal of gloves, facemasks and other PPE.	- கையுறைகள், முகமூடிகள் மற்றும் பிற தனிநபர் பாதுகாப்புக் கருவிகள் ஆகியவற்றைப் பயன்படுத்துவதும் அகற்றுவதும்.
4.1.3|	4.1.3 |
Posters may be placed at appropriate/visible locations for general awareness; for example:	பொது விழிப்புணர்வுக்கென சுவரொட்டிகள் பொருத்தமான / புலப்படும் இடங்களில் வைக்கப்படலாம்; உதாரணத்திற்கு:
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
Preventive Measures	தடுப்பு நடவடிக்கைகள்
5.1|	5.1 |
Mitigating Risks	அபாயங்களைத் தணித்தல்
5.1.1|	5.1.1 |
5.1.2|	5.1.2 |
