Guidance Document 	வழிகாட்டி ஆவணம்
To ensure continuous hygiene and cleanliness of all Restaurant areas (like kitchen/food production area, seating area, waiting area, entry/exit, storage area, bar etc. (as applicable) and defining hygiene standards for staff as well as guests.	அனைத்து உணவகப் பகுதிகளிலும் (சமையலறை / உணவு உற்பத்தி பகுதி, அமர்ந்திருக்கும் இடம், காத்திருக்கும் பகுதி, நுழைவு / வெளியேறுதல், சேமிப்பு பகுதி, பட்டி போன்றவை (பொருந்தும் வகையில்) தொடர்ச்சியான சுகாதாரம் மற்றும் தூய்மையை உறுதி செய்தல் மற்றும் ஊழியர்கள் மற்றும் விருந்தினர்களுக்கான சுகாதாரத் தரங்களை வரையறுத்தல்.
2.1|	2.1 |
Restaurant sanitization	உணவகத் தூய்மைப்படுத்தல்
This includes all areas like kitchen, seating area, waiting area etc. where all frequently used touchpoints that need regular cleaning and sanitization are identified.	சமையலறை, இருக்கை பகுதி, காத்திருப்பு பகுதி போன்ற அனைத்து பகுதிகளும் இதில் அடங்கும், அங்கு வழக்கமான துப்புரவு மற்றும் சுத்திகரிப்பு தேவைப்படும் அடிக்கடி பயன்படுத்தப்படும் அனைத்து தொடு புள்ளிகளும் அடையாளம் காணப்படுகின்றன.
2.1.1|	2.1.1 |
Dining Area:	உணவருந்தும் இடம்:
1. Provide safe, sanitized and clinically clean environment to the visitors and staff.	1. வருகையாளர்களுக்கும் ஊழியர்களுக்கும் பாதுகாப் பான, சுத்திகரிக்கப்பட்ட, மருத்துவ ரீதியாகச் சுத்தமான சூழலை வழங்கவும்.
2. All major touch points, operating panels, seats, covers, toolbox etc. requiring human touch should be sanitized at an hourly frequency, or when needed, with effective sanitizers.	2. அனைத்து முக்கிய புழங்குமிடங்கள், நடக்கும் பேனல்கள், இருக்கைகள், இருக்கையுறைகள், கருவிப்பெட்டி போன்றவற்றை ஒரு மணிநேர இடைவெளியில் அல்லது தேவைப்படும்போது, ​​திறன்மிக்க சுத்திகரிப்பான்களால் தூய்மையாக்க வேண்டும்.
3. Guest Service areas shall be thoroughly cleaned and disinfected before and after every shift.	3. விருந்தினர் சேவை பகுதிகள் ஒவ்வொரு மாற்றத்திற்கும் முன்னும் பின்னும் நன்கு சுத்தம் செய்யப்பட்டு கிருமி நீக்கம் செய்யப்படும்.
4. All tables to be cleaned with sanitizers and chlorinated water. The crockery, cutlery, hollow-ware and service ware etc. be washed with hot water and food grade/approved disinfectants. Linen, if used, should be replaced with a clean/sanitized one after each table turnover.	4. அனைத்து அட்டவணையும் சுத்திகரிப்பாளர்கள் மற்றும் குளோரினேட்டட் தண்ணீரில் சுத்தம் செய்யப்பட வேண்டும். பட்டாசுகள், வெட்டுக்கருவிகள், வெற்றுப் பொருட்கள் மற்றும் சேவைப் பொருட்கள் போன்றவை சூடான நீர் மற்றும் உணவு தரம் / அங்கீகரிக்கப்பட்ட கிருமிநாசினிகளால் கழுவப்பட வேண்டும். கைத்தறி, பயன்படுத்தப்பட்டால், ஒவ்வொரு அட்டவணை விற்றுமுதல் முடிந்தபின் சுத்தமான / சுத்திகரிக்கப்பட்ட ஒன்றை மாற்ற வேண்டும்.
5. A sanitization Standard Operating Procedure (SOP) & Schedule shall be in place for all areas that must be monitored regularly.	5. தொடர்ந்து கண்காணிக்கப்பட வேண்டிய அனைத்து பகுதிகளுக்கும் ஒரு சுத்திகரிப்பு தரநிலை இயக்க நடைமுறை (எஸ்ஓபி) மற்றும் அட்டவணை இருக்கும்.
6. Hand sanitizers (where there is no washing facility) should be placed at the entrance and other areas such as washrooms (outside/strategic locations).	6. கை சுத்திகரிப்பாளர்கள் (சலவை வசதி இல்லாத இடத்தில்) நுழைவாயிலிலும், கழுவும் அறைகள் (வெளியே / மூலோபாய இடங்கள்) போன்ற பிற பகுதிகளிலும் வைக்கப்பட வேண்டும்.
7. Regular deep cleaning of all washrooms shall be ensured.	7. அனைத்து சலவை அறைகளையும் வழக்கமாக ஆழமாக சுத்தம் செய்வது உறுதி செய்யப்படும்.
2.1.2|	2.1.2 |
Kitchen / Food Production Area:	சமையலறை / உணவு தயாரிக்கும் பகுதி:
It is recommended to follow the safety/sanitization measures mentioned below- for kitchen/ food preparation area:	சமையலறை / உணவு தயாரிக்கும் பகுதிக்கு கீழே குறிப்பிடப்பட்டுள்ள பாதுகாப்பு / தூய்மையாக்க நடவடிக்கைகள் பரிந்துரைக்கப்படுகின்றன:
1. Operational kitchens must be sanitized at regular intervals.	1. புழக்கத்திலுள்ள சமையலறைகள் சரியான கால இடைவெளியில் தூய்மையாக்கப்பட வேண்டும்.
2. Strict adherence to HAACP or ISO or FSSAI norms and guidelines for sanitization and hygiene in receiving, storing, and cooking of food items.	2. haacp (இடர்ப்பகுப்பாய்வு, முக்கியக் கட்டுப் பாட்டு இடங்கள் நிர்வாகம்) அல்லது iso (பன்னாட்டுத் தர நிறுவனம்) அல்லது fssai (இந்திய உணவுப் பாதுகாப்பு மற்றும் தர நிறுவனம்) இவற்றின் விதிமுறைகளின்படி உணவுப் பொருட்களைப் பெறுதல், சேமித்தல், சமைப்பதில் சுகாதாரம் மற்றும் சுகாதாரத்திற்கான நெறிமுறைகளைக் கண்டிப்பாக பின்பற்ற வேண்டும்.
3. Ensure all tools get sanitized regularly.	3. அனைத்துக் கருவிகளும் தவறாமல் தூய்மையாக் கப்படுவதை உறுதிசெய்ய வேண்டும.
4. Along with proper hand washing, food workers should use a barrier such as tongs, gloves or utensils to prevent direct hand contact with food (wherever possible).	4. முறையான கை கழுவுதலுடன், (முடிந்தவரை) உணவுப் பணியாளர்கள் உணவுடன் நேரடியாகத் தொடர்பு கொள்வதைத் தடுக்க, குறடுகள், கையுறை கள் அல்லது பாத்திரங்கள் போன்ற கருவிகளைப் பயன்படுத்த வேண்டும்.
5. Appropriate processes for handling perishable and non-perishable items may be instituted. Ready-to-eat food items may not be left open and handled appropriately.	5. கெட்டுப்போகக்கூடிய அன்றியும் கெடாத/அழுகாத பொருட்களைக் கையாள்வதற்கான பொருத்தமான நடைமுறைகளைப் பயன்படுத்த வேண்டும். சாப்பிடத் தயாரான உணவுப் பொருட்களைத் திறந்து வைக்கக் கூடாது, சரியான முறையில் கையாளவேண்டும்.
6. Keep foods separated to avoid cross contamination, e.g., keeping raw foods separated from cooked and ready-to-eat foods.	6. ஒன்றிலிருந்து ஒன்று மாசுபடுவதைத் தவிர்க்க உணவுகளை பிரித்து வைத்திருங்கள். உதாரணமாக, சமைத்த மற்றும் சாப்பிடத் தயாரான உணவுகளி லிருந்து சமைக்காத உணவுகளைப் பிரித்து வைத்திருங்கள்.
7. Ensure that any wrapping and packaging used for food transport is done in a manner that contamination of the food is prevented.	7. உணவுப் போக்குவரத்துக்குப் பயன்படுத்தப்படும் எந்தவொரு மடக்குதல் மற்றும் பேக்கேஜிங் உணவும் மாசுபடுவதைத் தடுக்கும் வகையில் செய்யப்படுவதை உறுதி செய்யுங்கள்.
2.1.3|	2.1.3 |
Bar Area (if applicable):	மதுவருந்தும் இடம் (பொருந்தினால்):
It is recommended to follow the bar safety/sanitization measures mentioned below:	கீழே குறிப்பிடப்பட்டுள்ள மது அருந்துமிடப் பாதுகாப்பு / தூய்மைப்படுத்தல் நடவடிக்கைகளைப் பின்பற்றுமாறு பரிந்துரைக்கப்படுகிறது:
1. Bar counter and stools to be sanitized properly.	1. மது வழங்குமிடம் மற்றும் இருக்கைகள் சரியாக சுத்தம் செய்யப்பட வேண்டும்.
2. Bar equipment like shakers, blenders, mixers and peg measurers to be cleaned.	2. குலுக்கிகள், கலக்கிகள், கலப்பான்கள், பெக் அளவிடு கருவிகள் போன்ற மதுநிலைய உபகரணங் கள் சுத்தம் செய்யப்பட வேண்டும்.
3. Ice container trolley to be washed and sanitized.	3. பனிக்கட்டிக் கலத் தள்ளுவண்டி கழுவப்பட்டு சுத்தப்படுத்தப்பட வேண்டும்.
4. All the alcoholic and non-alcoholic bottles to be sanitized with food grade disinfectant.	4. அனைத்து ஆல்கஹால் கொண்ட, ஆல்கஹால் கொள்ளாத பாட்டில்களும் தரமான கிருமிநாசினியால் சுத்திகரிக்கப்பட வேண்டும்.
5. All the glassware to be appropriately cleaned and disinfected.	5. அனைத்து கண்ணாடிப் பொருட்களும் சரியான முறையில் சுத்தம் செய்யப்பட்டு கிருமி நீக்கம் செய்யப்பட வேண்டும்.
6. It is recommended to follow FSSAI guidelines for handling of beverages.	6. பானங்களைக் கையாள fssai வழிகாட்டுதல் களைப் பின்பற்ற வேண்டும்.
2.1.4|	2.1.4 |
Suggested cleaning process:	பரிந்துரைக்கப்படும் துப்புரவுச் செயல்முறை:
Cleaning process should be followed by disinfection. Use chemicals as per the direction provided by the manufacturers. (Use of chemicals recommended by FSSAI technical norms)	கிருமி நீக்கம் செய்யப்படுவதை சுத்தம் செய்ய வேண்டும். உற்பத்தியாளர்கள் வழங்கிய திசையின்படி ரசாயனங்களைப் பயன்படுத்துங்கள். (FSSAI தொழில்நுட்ப விதிமுறைகளால் பரிந்துரைக்கப்பட்ட ரசாயனங்களின் பயன்பாடு)
Restaurant Areas	உணவக இடங்கள்
Area|Solution|	பகுதி | தீர்வு |
Food preparation/ production area, Stores, Packaging area, Service Area, Waste Disposal Area, Office space, Transport Vehicle, Toilets/Washrooms.	உணவு தயாரித்தல் / தயாரிப்பு இடம், சிப்பம்கட்டும் பகுதி கடைகள், சேவைப்பகுதி, கழிவுகளை அகற்றும் பகுதி, அலுவலகப்பகுதி, போக்குவரத்து வாகனம், கழிப்பறைகள் /கழுவுமிடங்கள் போன்றவற்றை சுத்தம் செய்யவும்.
Soap and water (preferably hot water) followed by disinfection (using freshly prepared 1% hypochlorite solution or equivalent).	சோப்பு மற்றும் நீர் (சூடான நீர் இருப்பின் நல்லது) கொண்டு கழுவி, தொடர்ந்து கிருமி நீக்கம் (புதிதாக தயாரிக்கப்பட்ட 1% ஹைபோகுளோரைட் கரைசல் அல்லது அதற்கு சமமானவற்றைப் பயன்படுத்துதல்) செய்ய வேண்டும்.
Restaurant Equipment and crockery etc.	உணவக உபகரணங்கள் மற்றும் உணவுக்கலங்கள் போன்றவை.
Equipment/Crockery| Solution	உபகரணங்கள் / பட்டாசுகள் | தீர்வு
Cleaning Equipment, containers utensils, crockery, cutlery and service ware etc. thoroughly with cleaning solution and water.	துப்புரவு உபகரணங்கள், கொள்கலன்கள் பாத்திரங்கள், பீப்பாய்கள், கட்லரி மற்றும் சேவை பொருட்கள் போன்றவை சுத்தம் செய்யும் தீர்வு மற்றும் தண்ணீருடன் முழுமையாக.
Use of hot water (above 60 o C) is recommended. After cleaning, sanitation using Alcohol/ Quaternary ammonium compound is recommended. (Follow FSSAI guideline).	சூடான நீரின் பயன்பாடு (60 o C க்கு மேல்) பரிந்துரைக்கப்படுகிறது. சுத்தம் செய்த பிறகு, ஆல்கஹால் / குவாட்டர்னரி அம்மோனியம் கலவை பயன்படுத்தி துப்புரவு பரிந்துரைக்கப்படுகிறது. (FSSAI வழிகாட்டுதலைப் பின்பற்றவும்).
The crockery, cutlery, hollowware and service ware etc. be washed with hot water and food grade/ approved disinfectants.	உணவுக்கலங்கள், நறுக்குக்கருவிகள், வெற்றுப் பாத்திரங்கள் மற்றும் பயன்பாட்டுப் பாத்திரங்கள் போன்றவை வெந்நீர் மற்றும் உணவுத் தரஅமைப்பி னால் அங்கீகரிக்கப்பட்ட கிருமிநாசினிகளால் கழுவப்பட வேண்டும்.
Cleaning of various high/frequent touch points: Special attention is to be given to various high touch points and the following method and frequency will be used for the same.	பல்வேறு உயர் / அடிக்கடி தொடு புள்ளிகளை சுத்தம் செய்தல்: பல்வேறு உயர் தொடு புள்ளிகளுக்கு சிறப்பு கவனம் செலுத்தப்பட வேண்டும், மேலும் பின்வரும் முறை மற்றும் அதிர்வெண் அதற்காக பயன்படுத்தப்படும்.
<TABLE-data>	<table-data>
Touchpoints (wherever applicable)| Method & Frequency	டச் பாயிண்ட்ஸ் (பொருந்தும் இடங்களில்) | முறை & அதிர்வெண்
Elevator buttons, handrails / handles and call buttons, escalator handrails, public counters, intercom systems, equipment like telephone, printers/ scanners, and other office machines, table tops, chair handles, pens, diary files, keyboards, mouse, mouse pad, tea/ coffee dispensing machines, etc.	லிஃப்ட் பொத்தான்கள், ஹேண்ட்ரெயில்கள் / கைப்பிடிகள் மற்றும் அழைப்பு பொத்தான்கள், எஸ்கலேட்டர் ஹேண்ட்ரெயில்கள், பொது கவுண்டர்கள், இண்டர்காம் அமைப்புகள், தொலைபேசி, அச்சுப்பொறிகள் / ஸ்கேனர்கள் மற்றும் பிற அலுவலக இயந்திரங்கள், டேபிள் டாப்ஸ், நாற்காலி கைப்பிடிகள், பேனாக்கள், டைரி கோப்புகள், விசைப்பலகைகள், சுட்டி, மவுஸ் பேட், தேநீர் / காபி விநியோக இயந்திரங்கள் போன்றவை.
Cleaned twice daily by mopping with a linen/ absorbable cloth soaked in 1% sodium hypochlorite.	1% சோடியம் ஹைபோகுளோரைட்டில் ஊறவைத்த கைத்தறி / உறிஞ்சக்கூடிய துணியால் துடைப்பதன் மூலம் தினமும் இரண்டு முறை சுத்தம் செய்யப்படுகிறது.
Metallic surfaces like door handles, security locks, handles of baskets/ carts, display racks etc. (where bleach is not suitable).	கதவு கைப்பிடிகள், பாதுகாப்பு பூட்டுகள், கூடைகள் / வண்டிகளின் கைப்பிடிகள், காட்சி ரேக்குகள் போன்ற உலோக மேற்பரப்புகள் (ப்ளீச் பொருத்தமற்ற இடத்தில்).
70% alcohol	70% ஆல்கஹால்
Hand sanitizing stations at the entry and near high contact surfaces.	நுழைவு மற்றும் உயர் தொடர்பு மேற்பரப்புகளுக்கு அருகில் கை சுத்திகரிப்பு நிலையங்கள்.
Cleaned at least twice in a shift. Sanitized with 1% sodium hypochlorite.	ஒரு ஷிப்டில் குறைந்தது இரண்டு முறையாவது சுத்தம் செய்யப்படுகிறது. 1% சோடியம் ஹைபோகுளோரைட்டுடன் சுத்திகரிக்கப்படுகிறது.
Toilets / Washrooms	கழிப்பறைகள் / கழிவறைகள்
Regularly in case of high table turnover or after every shift using water and detergent, followed by 1% sodium hypochlorite.	வழக்கமாக அதிக அட்டவணை விற்றுமுதல் அல்லது நீர் மற்றும் சவர்க்காரத்தைப் பயன்படுத்தி ஒவ்வொரு மாற்றத்திற்கும் பிறகு, 1% சோடியம் ஹைபோகுளோரைட் தொடர்ந்து.
Area of two meters around the person who has coughed. 	கூச்சலிட்ட நபரைச் சுற்றி இரண்டு மீட்டர் பரப்பளவு.
Vacated immediately, thoroughly cleaned and disinfected with freshly prepared 1 % hypochlorite solution.	உடனடியாக காலியாகி, நன்கு சுத்தம் செய்யப்பட்டு, புதிதாக தயாரிக்கப்பட்ட 1% ஹைபோகுளோரைட் கரைசலில் கிருமி நீக்கம் செய்யப்படுகிறது.
All cleaning equipment, cloth, mops, reusable protective gear such as boots, gloves.	அனைத்து துப்புரவு உபகரணங்கள், துணி, மாப்ஸ், பூட்ஸ், கையுறைகள் போன்ற மறுபயன்பாட்டு பாதுகாப்பு கியர்.
Cleaned thoroughly before use & after use. Sanitize where required.	பயன்பாட்டிற்கு முன் & பயன்பாட்டிற்கு பிறகு நன்கு சுத்தம் செய்யப்படுகிறது. தேவையான இடங்களில் சுத்தப்படுத்தவும்.
2.2|	2.2 |
Personal Hygiene: Employee/Staff	தனிப்பணியாளரின் / பணியாளர்கள்குழுவின் தனிப்பட்ட சுகாதாரம்:
All Employees must ensure impeccable hygiene practices to avoid cross contamination.	குறுக்கு மாசுபாட்டைத் தவிர்ப்பதற்கு அனைத்து ஊழியர்களும் குறையற்ற சுகாதார நடைமுறைகளை உறுதிப்படுத்த வேண்டும்.
2.2.1|	2.2.1 |
1. All Staff, irrespective of designation/section, shall wear PPEs like face mask/shield & hand gloves (wherever applicable) and chefs/cooks to wear chef-caps/net-caps and other safety gears (as applicable), which should be changed/disinfected regularly in order to avoid cross contamination.	1. அனைத்து பணியாளர்களும், பதவி / பிரிவைப் பொருட்படுத்தாமல், முகமூடி / கவசம் மற்றும் கை கையுறைகள் (பொருந்தக்கூடிய இடங்களில்) மற்றும் சமையல்காரர்கள் / சமையல்காரர்கள் செஃப்-தொப்பிகள் / நெட்-தொப்பிகள் மற்றும் பிற பாதுகாப்பு கியர்களை (பொருந்தும் வகையில்) அணிய வேண்டும். குறுக்கு மாசுபடுவதைத் தவிர்ப்பதற்காக தவறாமல் மாற்றலாம் / கிருமி நீக்கம் செய்யப்படும்.
2. Monitoring of body temperature via thermal gun thermometer should be done daily and at frequent intervals, if needed.	2. வெப்ப துப்பாக்கி வெப்பமானி வழியாக உடல் வெப்பநிலையை கண்காணிப்பது தேவைப்பட்டால், தினசரி மற்றும் அடிக்கடி இடைவெளியில் செய்யப்பட வேண்டும்.
3. All staff shall maintain respiratory etiquettes i.e. covering mouth and nose with bent elbow or tissue when coughing or sneezing. The used tissue should be disposed of immediately as per prescribed norms.	3. அனைத்து ஊழியர்களும் மூச்சுவிடுதல் நடைமுறை களைப் பின்பற்ற வேண்டும். அதாவது இருமும்போது அல்லது தும்மும்போது வாயையும் மூக்கையும் முழங்கையினால் அல்லது துடைப்புத் தாளால் மூடிக் கொள்ள வேண்டும். பயன்படுத்தப்பட்ட துடைப்புத் தாள்கள் பரிந்துரைக்கப்பட்ட விதிமுறைகளின்படி உடனடியாக அகற்றப்பட வேண்டும்.
4. Social distancing should be maintained amongst staff as well as guests and all should refrain from hugging & shaking hands with guests as well as among themselves.	4. ஊழியர்கள், விருந்தினர்களிடையே சமூகத் தொலைவு பராமரிக்கப்பட வேண்டும். மேலும் அனைவரும் விருந்தினர்களும் தங்களுக்கிடையில் தழுவிக்கொள்வதையும் கை குலுக்குவதையும் தவிர்க்க வேண்டும்.
5. Daily uniform exchange should be the norm and social distancing should be maintained while doing the same. In case there is no in-house laundry for staff, then all staff should be advised to wear clean attire to avoid cross contamination.	5. தினசரி சீரான பரிமாற்றம் வழக்கமாக இருக்க வேண்டும், அதேபோல் சமூக தூரத்தை பராமரிக்க வேண்டும். ஊழியர்களுக்கு உள் சலவை இல்லை என்றால், அனைத்து ஊழியர்களும் குறுக்கு மாசுபடுவதைத் தவிர்க்க சுத்தமான உடையை அணிய அறிவுறுத்தப்பட வேண்டும்.
6. Cashiers to disinfect hands after every settlement through cash/card.	6. பணம் / அட்டை மூலம் ஒவ்வொரு குடியேற்றத்திற்கும் பிறகு கைகளை கிருமி நீக்கம் செய்ய காசாளர்கள்.
2.3|	2.3 |
Personal Hygiene: Restaurant Guests	தனிப்பட்ட சுகாதாரம்: உணவக விருந்தினர்கள்
All guests must be informed beforehand on the guidelines related to hygiene and safety practiced by the restaurant.	அனைத்து விருந்தினர்களுக்கும் உணவகம் கடைப்பிடிக்கும் சுகாதாரம் மற்றும் பாதுகாப்பு தொடர்பான வழிகாட்டுதல்கள் குறித்து முன்பே தெரிவிக்கப்பட வேண்டும்.
2.3.1|	2.3.1 |
1. Prior reservations to be encouraged by guests so that seating may be arranged as per number of pax ensuring social distancing from other table.	1. விருந்தினர்களால் முன் முன்பதிவு செய்யப்பட வேண்டும், இதன்மூலம் மற்ற அட்டவணையில் இருந்து சமூக தூரத்தை உறுதிசெய்யும் பேக்ஸின் எண்ணிக்கையின் படி இருக்கை ஏற்பாடு செய்யப்படலாம்.
2. Guest shall not enter the restaurant premises without wearing a mask or adequate PPE and sanitize their hands before entering.	2. விருந்தினர் முகமூடி அல்லது போதுமான பிபிஇ அணியாமல் உணவக வளாகத்திற்குள் நுழைந்து உள்ளே நுழைவதற்கு முன்பு தங்கள் கைகளை சுத்தப்படுத்தக்கூடாது.
3. Guests shall be advised to not step out of the restaurant unnecessarily during dining.	3. விருந்தினர்கள் உணவருந்தும்போது தேவையின்றி உணவகத்திலிருந்து வெளியேற வேண்டாம் என்று அறிவுறுத்தப்படுவார்கள்.
4. Guests shall sanitize themselves before and after every trip to the washroom.	4. சலவை அறைக்கு ஒவ்வொரு பயணத்திற்கு முன்னும் பின்னும் விருந்தினர்கள் தங்களைத் தூய்மைப்படுத்திக் கொள்ள வேண்டும்.
5. All guests shall always keep a safe distance from other tables as per social distancing norms.	5. அனைத்து விருந்தினர்களும் சமூக தூர விதிமுறைகளின்படி மற்ற அட்டவணைகளிலிருந்து எப்போதும் பாதுகாப்பான தூரத்தை வைத்திருப்பார்கள்.
6. Guests shall not carry any outside food into the restaurant premises or any other items like gifts etc., which may be difficult to sanitize by the restaurant.	6. விருந்தினர்கள் எந்தவொரு வெளிப்புற உணவையும் உணவக வளாகத்திற்குள் கொண்டு செல்லக்கூடாது அல்லது பரிசு போன்ற வேறு எந்த பொருட்களையும் கொண்டு செல்லக்கூடாது, அவை உணவகத்தால் சுத்திகரிக்க கடினமாக இருக்கலாம்.
Clause | Key Element | Section | Sub Elements | Sub section | Requirements	பிரிவு | முக்கிய உறுப்பு | பிரிவு | துணைக் கூறுகள் | துணை பிரிவு | தேவைகள்
3 |	3 |
